Frame,AverageDepth,MinDepth,MaxDepth,IsOutlier
1,480.2318115234375,169.98861694335938,867.7975463867188,False
2,445.8326416015625,144.32498168945312,974.9694213867188,False
3,425.4005126953125,107.89301300048828,1014.841796875,False
4,430.345947265625,114.45939636230469,983.2183837890625,False
5,424.6150817871094,110.36964416503906,947.281005859375,False
6,417.6040954589844,99.7457504272461,953.8897094726562,False
7,416.16839599609375,91.88630676269531,932.7848510742188,False
8,407.9560546875,92.04271697998047,947.31640625,False
9,414.4880065917969,101.81444549560547,954.2182006835938,False
10,415.1537170410156,100.6884765625,957.8428344726562,False
11,420.1438903808594,97.53388977050781,967.10888671875,False
12,411.0346374511719,100.8187026977539,936.4032592773438,False
13,408.7835693359375,90.58441162109375,938.6301879882812,False
14,409.79425048828125,116.00933837890625,919.875244140625,False
15,423.0048828125,123.31192016601562,938.0359497070312,False
16,410.63470458984375,122.1688232421875,907.71337890625,False
17,424.58551025390625,123.53947448730469,924.7345581054688,False
18,415.624267578125,119.3119125366211,936.5132446289062,False
19,427.2646484375,116.16677856445312,927.5448608398438,False
20,439.0791015625,140.2935333251953,937.904541015625,False
21,427.3491516113281,122.91404724121094,915.5452880859375,False
22,416.3934326171875,113.89547729492188,919.0909423828125,False
23,425.00054931640625,117.50518798828125,914.1322021484375,False
24,426.8193359375,105.05267333984375,926.8504028320312,False
25,426.91754150390625,107.67681121826172,1018.9384765625,False
26,419.9108581542969,100.14163970947266,1100.394775390625,False
27,423.4494323730469,103.84477233886719,1046.514892578125,False
28,418.3487854003906,91.53077697753906,1037.0228271484375,False
29,425.77850341796875,86.6769027709961,1054.1248779296875,False
30,550.8064575195312,74.47447204589844,1246.488525390625,True
31,461.2269287109375,23.714311599731445,1080.09130859375,False
32,475.18426513671875,-13.365750312805176,919.849365234375,False
33,563.2008666992188,82.64140319824219,967.5001831054688,True
34,652.68505859375,66.54779815673828,1124.8533935546875,True
35,606.5137939453125,-10.964812278747559,1133.96240234375,False
36,463.7855224609375,33.98122787475586,1120.692138671875,False
37,445.0918273925781,124.8965835571289,956.4351806640625,False
38,446.4723815917969,105.25989532470703,978.9893188476562,False
39,454.40899658203125,125.08643341064453,993.4818725585938,False
40,445.5284423828125,112.10209655761719,959.0877075195312,False
41,442.6195373535156,118.91966247558594,953.7191162109375,False
42,435.9027404785156,113.46370697021484,943.5337524414062,False
43,445.6277160644531,116.33074188232422,932.5582885742188,False
44,440.10662841796875,112.3512191772461,937.0726318359375,False
45,444.7690734863281,109.54249572753906,938.27880859375,False
46,444.2144775390625,131.7823486328125,904.1527709960938,False
47,442.4717712402344,125.57706451416016,929.2962036132812,False
48,427.0981750488281,105.52783966064453,956.0452880859375,False
